,id,symbol,name,price,rank,total_volume,fully_diluted_valuation,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,all_time_high,ath_date,all_time_low,atl_date,last_updated
963,hopr,hopr,HOPR,0.0418327,966,452948.0,17764369.0,0.04254931,0.04167045,5.477e-05,0.1311,-6148.52706296742,-0.03648,402518666.689848,424380926.429848,1000000000.0,0.951533,2021-03-30T00:00:00.000Z,0.03361032,2023-11-21T19:05:47.498Z,2023-12-15T10:15:01.567Z
964,only1,like,Only1,0.061467,963,1433860.0,30819149.0,0.067334,0.058032,-0.001635629249794504,-2.59201,-490561.7463334985,-2.82981,273286650.06,500000000.0,,1.041,2021-09-07T06:10:27.957Z,0.00133134,2023-08-06T07:56:36.793Z,2023-12-15T10:14:35.138Z
965,spacen,sn,SpaceN,0.419383,969,19502.68,419382598.0,0.474231,0.413477,-0.051383491221813904,-10.91487,-2054849.6527214423,-10.91012,40010000.0,1000000000.0,1000000000.0,2.22,2023-08-09T19:21:28.603Z,0.04957282,2022-10-03T14:32:52.651Z,2023-12-15T10:12:18.562Z
966,rarible,rari,Rarible,1.44,971,447960.0,36110729.0,1.47,1.43,-0.00490031861269058,-0.33819,-43610.77443858236,-0.26008,11578869.797242802,25000000.0,25000000.0,46.7,2021-03-29T23:49:36.707Z,0.264878,2020-07-22T01:54:13.846Z,2023-12-15T10:14:51.513Z
967,netvrk,ntvrk,Netvrk,0.263946,968,166328.0,26388352.0,0.270421,0.253507,-0.001742708119984615,-0.65592,-129710.25745193474,-0.77025,63324243.0057,100000000.0,100000000.0,7.33,2021-11-25T15:29:36.310Z,0.052785,2021-07-07T13:57:09.315Z,2023-12-15T10:14:56.559Z
968,dopex,dpx,Dopex,60.24,973,160499.0,30271455.0,63.07,59.73,-2.200894241940567,-3.5245,-532697.935398411,-3.10973,274141.566098058,500000.0,500000.0,4215.41,2022-01-15T20:54:31.557Z,59.35,2023-12-13T07:00:45.626Z,2023-12-15T10:15:04.838Z
969,axel,axel,AXEL,0.134116,975,4096.24,134052406.0,0.136452,0.131184,0.0029029,2.21236,331978.0,2.04572,123533160.0,1000000000.0,,0.349088,2021-05-08T08:23:54.001Z,0.04410258,2022-09-19T13:24:44.648Z,2023-12-15T10:12:35.391Z
970,goosefx,gofx,GooseFX,0.057013,970,59304.0,40865267.0,0.071764,0.058197,-0.014750926371583812,-20.55489,-3760159.212149922,-18.52423,282858793.65287,698923346.406568,700000000.0,0.414305,2021-11-13T00:00:00.000Z,7.976e-05,2023-08-07T17:45:22.562Z,2023-12-15T10:15:07.262Z
971,interest-compounding-eth-index,iceth,Interest Compounding ETH Index,2456.0,976,11542.44,16483121.0,2514.57,2444.22,-10.556133707326353,-0.42797,-74488.57199459895,-0.44988,6712.69999326431,6712.69999326431,,3550.84,2022-04-05T13:19:38.068Z,82.18,2022-06-14T02:17:41.560Z,2023-12-15T10:14:59.825Z
972,crypto-gladiator-shards,cgl,Crypto Gladiator League,0.00779087,977,200984.0,24212969.0,0.00812603,0.00777412,-0.000298224221894263,-3.68675,-599900.9677781574,-3.51513,2108193785.0,3100000000.0,,0.595285,2021-09-17T02:14:30.526Z,0.00522961,2023-10-19T04:59:40.222Z,2023-12-15T10:14:29.044Z
973,bad-idea-ai,bad,Bad Idea AI,3.0698e-08,972,1122663.0,25553737.0,3.3008e-08,3.0677e-08,-1.413719778e-09,-4.4025,-726953.4985552505,-4.25031,532538137916755.0,830963055400463.0,831041059897327.0,1.93994e-07,2023-08-13T03:25:17.029Z,1.9409e-08,2023-07-21T06:15:30.480Z,2023-12-15T10:15:07.882Z
974,iron-bank-euro,ibeur,Iron Bank EUR,1.054,978,7011.28,16347594.0,1.066,1.035,0.00499862,0.47658,84278.0,0.51821,15500000.0,15500000.0,15500000.0,1.77,2021-07-24T17:31:43.456Z,0.00993562,2022-05-12T11:06:09.074Z,2023-12-15T10:14:10.961Z
975,bazed-games,bazed,Bazed Games,0.210069,974,939097.0,16319104.0,0.222322,0.116215,0.093854,80.75938,7231265.0,79.57079,77700000.0,77700000.0,77700000.0,0.222322,2023-12-15T05:29:53.286Z,0.0050751,2023-08-04T18:51:33.427Z,2023-12-15T10:14:41.667Z
976,veloce-vext,vext,Veloce,0.372186,979,4345303.0,18289532.0,0.384451,0.369568,-0.006135456601255363,-1.62176,-277972.0512760263,-1.67605,43806689.13,49132656.0,300000000.0,0.706651,2023-09-04T10:14:45.725Z,0.31427,2023-11-12T10:40:02.059Z,2023-12-15T10:15:13.951Z
977,domi,domi,Domi,0.058149,980,392706.0,58135589.0,0.063159,0.056946,-0.003226372728753868,-5.25678,-903635.5638653133,-5.257,280130399.619723,1000000000.0,1000000000.0,0.407925,2022-02-01T09:44:14.240Z,0.00279227,2023-09-15T00:01:14.248Z,2023-12-15T10:15:11.842Z
978,usd,usd+,Overnight.fi USD+,1.004,981,1408914.0,16441558.0,1.14,0.996859,-0.001959595395183644,-0.19481,-535511.7711207233,-3.19064,16181205.5838904,16373622.9775366,,1.18,2023-04-03T20:19:29.075Z,0.736532,2023-07-26T02:40:40.793Z,2023-12-15T10:15:10.902Z
979,satoxcoin,satox,Satoxcoin,0.00472073,965,351123.0,16217510.0,0.00599881,0.0047779,-0.000897799161847438,-15.97925,-3080282.245016046,-16.01552,3421677271.562423,3435379841.562423,,0.01402414,2023-12-09T12:10:03.631Z,0.00017182,2023-11-22T04:13:19.275Z,2023-12-15T10:12:40.788Z
980,step-finance,step,Step Finance,0.04199906,982,369017.0,26944475.0,0.04644117,0.04190363,-0.001449032459637498,-3.33509,-279762.8606513031,-1.70757,376595871.0,630106792.0,630106792.0,10.2,2021-04-28T20:12:41.995Z,0.00654111,2022-11-14T00:10:46.855Z,2023-12-15T10:15:07.487Z
981,dagger,xdag,Dagger,0.0125774,986,29826.0,18939177.0,0.01350405,0.01249629,-0.000121173745393237,-0.95423,443183.0,2.83087,1229369792.0,1446294144.0,1446294144.0,0.100431,2018-11-03T00:27:49.441Z,0.00101162,2019-09-29T00:00:00.000Z,2023-12-15T10:14:06.465Z
982,fuse-network-token,fuse,Fuse,0.06623,984,931801.0,24180287.0,0.067999,0.064412,0.00076863,1.17417,318888.0,2.02196,240451194.590666,361350260.080567,,2.13,2022-01-20T20:30:10.237Z,0.00433097,2020-03-16T16:04:44.170Z,2023-12-15T10:15:05.981Z
983,gamma-strategies,gamma,Gamma Strategies,0.257571,985,72417.0,25691888.0,0.268237,0.253804,-0.010666682724704947,-3.97658,-721090.8836016469,-4.31975,62166673.01234629,100000000.0,100000000.0,0.720751,2021-12-27T18:56:27.479Z,0.03009164,2022-10-16T14:29:29.805Z,2023-12-15T10:15:13.112Z
984,gamezone,gzone,GameZone,0.03804308,987,63797.0,15954122.0,0.04020035,0.037791,-0.00116890537089704,-2.98099,-477141.41133368015,-2.90386,419589099.037145,419589099.037145,1000000000.0,1.18,2021-11-18T05:04:24.916Z,0.01402268,2022-09-21T18:28:05.427Z,2023-12-15T10:13:37.382Z
985,adshares,ads,Adshares,0.412497,988,117890.0,15952909.0,0.418565,0.403796,-0.004938813206754823,-1.18313,-292727.1036769189,-1.80219,38751534.350302,38758203.0,,5.72,2022-04-03T22:45:38.560Z,0.0102872,2020-09-04T22:54:17.039Z,2023-12-15T10:14:57.631Z
986,blockasset,block,Blockasset,0.075841,983,89400.0,24346365.0,0.077125,0.068798,0.00524078,7.42322,1106071.0,7.45307,209595601.0,320000000.0,,0.949403,2021-12-09T14:20:49.867Z,0.01546995,2022-12-19T11:15:58.514Z,2023-12-15T10:14:25.283Z
987,ion,ion,Ion,746.89,989,14790.16,15906681.0,747.0,668.06,74.39,11.06205,1827019.0,12.9763,21294.0,21294.0,21294.0,22355.0,2022-01-16T14:21:52.507Z,0.00036936,2023-08-23T17:58:27.811Z,2023-12-15T10:14:21.507Z
988,flooring-lab-credit,flc,Flooring Lab Credit,0.00985939,990,3686646.0,246598632.0,0.01284853,0.00928608,-0.002836697087315392,-22.34309,-4639079.159789925,-22.62306,1608575053.099883,25000000000.0,25000000000.0,0.01370847,2023-12-10T13:00:49.870Z,0.00459201,2023-11-07T16:04:53.939Z,2023-12-15T10:15:04.642Z
989,winr-protocol,winr,WINR Protocol,0.07862,996,1598812.0,18020008.0,0.092219,0.072906,-0.006176412271052825,-7.28385,-1324152.904403694,-7.70307,201838618.128044,229243847.432164,921751444.0193368,0.119386,2023-03-21T14:24:03.481Z,0.01232665,2023-07-20T08:14:20.821Z,2023-12-15T10:15:05.101Z
990,roaland-core,roa,ROACORE,0.105701,991,28593759.0,100415972.0,0.115943,0.104823,-0.00825457256707629,-7.24369,-1360647.1066728532,-7.90218,150026733.0,949999869.89,1000000000.0,4.01,2023-03-18T12:03:51.973Z,0.058032,2023-08-31T19:31:29.500Z,2023-12-15T10:13:40.860Z
991,shina-inu,shi,Shina Inu,1.12e-06,992,100705.0,16229717.0,1.21e-06,1.11e-06,-7.083687703e-09,-0.62799,-102531.79581706971,-0.64783,14031257227495.6,14482056376677.0,20000000000000.0,3.6e-06,2023-02-14T04:16:51.506Z,1.02003e-07,2022-05-27T18:46:31.923Z,2023-12-15T10:14:26.714Z
992,gearbox,gear,Gearbox,0.00944874,993,704896.0,94554800.0,0.00950099,0.00926953,-1.5403600414843e-05,-0.16276,-44813.673111597076,-0.28466,1660201607.0,10000000000.0,10000000000.0,0.03056878,2022-12-21T12:16:29.257Z,0.003746,2023-09-27T01:20:41.950Z,2023-12-15T10:15:03.436Z
993,crypto-carbon-energy-2,cyce,Crypto Carbon Energy,0.771858,994,1391135.0,32422053.0,0.773324,0.768224,0.00074463,0.09657,10273.07,0.06567,20276652.0,42000000.0,42000000.0,0.77489,2023-12-13T15:05:53.452Z,0.541788,2023-05-18T19:49:51.444Z,2023-12-15T10:12:24.897Z
994,pepe-2-0,pepe2.0,Pepe 2.0,3.7142e-08,995,10029001.0,15622101.0,4.4362e-08,3.6011e-08,-5.4242665e-09,-12.74325,-2244492.378563335,-12.56251,420690000000000.0,420690000000000.0,420690000000000.0,2.19418e-07,2023-07-07T02:50:33.800Z,5.163e-09,2023-10-09T14:55:09.764Z,2023-12-15T10:15:12.477Z
