,Date(UTC),total_eth_supply,total_block_uncle_reward,total_block_count,total_uncle_count,BurntFees
258,4/13/2016,79048625.65625,31486.09375,6015,415,0.0
259,4/14/2016,79080026.75,31401.09375,6021,379,0.0
260,4/15/2016,79111760.1875,31733.4375,6059,418,0.0
261,4/16/2016,79143291.4375,31531.25,6019,416,0.0
262,4/17/2016,79174794.5625,31503.125,6015,412,0.0
263,4/18/2016,79206654.09375,31859.53125,6055,457,0.0
264,4/19/2016,79237980.65625,31326.5625,5969,430,0.0
265,4/20/2016,79269812.0625,31831.40625,6050,453,0.0
266,4/21/2016,79301185.96875,31373.90625,5990,417,0.0
267,4/22/2016,79332762.6875,31576.71875,6031,415,0.0
268,4/23/2016,79364456.28125,31693.59375,6051,427,0.0
269,4/24/2016,79395951.28125,31495.0,5981,460,0.0
270,4/25/2016,79428088.3125,32137.03125,6104,469,0.0
271,4/26/2016,79459376.125,31287.8125,5952,434,0.0
272,4/27/2016,79491251.125,31875.0,6062,452,0.0
273,4/28/2016,79522933.625,31682.5,6030,440,0.0
274,4/29/2016,79554617.21875,31683.59375,6030,439,0.0
275,4/30/2016,79586508.9375,31891.71875,6058,455,0.0
276,5/1/2016,79617521.75,31012.8125,5942,370,0.0
277,5/2/2016,79649433.3125,31911.5625,6080,438,0.0
278,5/3/2016,79681224.5625,31791.25,6054,448,0.0
279,5/4/2016,79712683.3125,31458.75,5980,444,0.0
280,5/5/2016,79744463.3125,31780.0,6037,464,0.0
281,5/6/2016,79776200.96875,31737.65625,6022,465,0.0
282,5/7/2016,79807774.09375,31573.125,5988,468,0.0
283,5/8/2016,79839623.3125,31849.21875,6051,459,0.0
284,5/9/2016,79871424.71875,31801.40625,6044,445,0.0
285,5/10/2016,79903125.65625,31700.9375,6012,470,0.0
286,5/11/2016,79934378.78125,31253.125,5914,476,0.0
287,5/12/2016,79966635.8125,32257.03125,6099,493,0.0
288,5/13/2016,79998832.53125,32196.71875,6064,539,0.0
289,5/14/2016,80030500.34375,31667.8125,5958,534,0.0
290,5/15/2016,80062308.9375,31808.59375,6015,475,0.0
291,5/16/2016,80093820.5,31511.5625,5961,470,0.0
292,5/17/2016,80126012.6875,32192.1875,6071,510,0.0
293,5/18/2016,80158417.0625,32404.375,6063,532,0.0
